spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd,iter_temperature
03116_95_random,0.969,0,0,0,0.9654,0,0.2535,0,0,0,0.0929,0,0,0,0,10440.816
03124_95_random,0,0,0,0.8293,0.9814,0,0,0,0.9497,0,0,0,0,0,0,11920.6123
03130_95_random,0.9619,0,0,0.9732,0.864,0.765,0,0.5895,0,0,0,0,0,0,0,9200.8134
03134_95_random,0.9571,0.1945,0,0.9536,0.9552,0.5276,0,0,0,0,0,0,0,0,0,13077.0319
070036_95_random,0,0.8216,0.6747,0,0,0,0.8179,0,0,0,0.5688,0,0.0331,0,0,12470.3059
070099_95_random,0,0,0,0.0866,0,0.5492,0,0.7075,0,0,0,0,0,0,0,9508.1545
070101_95_random,0,0.814,0.6618,0.1911,0,0.0358,0,0,0,0,0,0,0,0,0,8308.9433
070159_95_random,0,0,0,0,0,0,0,0,0.9544,0,0,0,0,0,0,12524.1722
070171_95_random,0,0,0,0,0,0.2652,0,0,0.5843,0,0,0,0.023,0,0,11952.1807
07103_95_random,0,0.0001,0,0.4804,0,0.5792,0.7428,0.9363,0,0,0.3379,0,0,0,0.9555,10263.75
07105_95_random,0.9526,0,0,0,0.933,0.7279,0,0.6948,0,0,0,0,0.1061,0,0,13458.4001
07106_95_random,0.9752,0.9422,0.7889,0,0,0,0.8592,0,0,0,0.5391,0,0,0,0,11016.9797
07107_95_random,0.9388,0,0.4021,0,0.9267,0.4101,0,0.6193,0.0904,0,0,0,0.0122,0,0,13898.8493
07111_95_random,0.9251,0.3152,0,0,0.937,0,0,0.6576,0,0,0,0,0.1122,0,0,10073.544
07121_95_random,0,0.1893,0.7382,0,0.8805,0.676,0.9374,0,0.554,0,0,0,0,0,0,8727.2762
07122_95_random,0.961,0,0,0,0.8886,0.5215,0,0.4755,0,0,0,0,0,0,0,12823.8657
07125_95_random,0.9847,0.5324,0.8091,0,0.97,0.2908,0,0,0,0,0,0,0,0,0,10681.8717
07141_95_random,0,0,0,0,0.7883,0,0.9194,0,0,0,0,0,0.0039,0,0,13203.9572
07145_95_random,0.9086,0.9324,0.6824,0.8492,0,0.4529,0,0.8475,0,0,0.029,0,0,0,0,12981.7747
07405_95_random,0,0,0,0.1063,0,0.4855,0,0.419,0.1898,0,0,0,0.0004,0,0,12961.2477
07407_95_random,0,0.0859,0,0,0,0,0,0,0.9035,0,0.0248,0,0.0179,0,0,8324.8217
07840_95_random,0.3528,0.1356,0.2088,0,0,0.9713,0,0,0,0.9449,0,0.9274,0.0141,0,0,8529.586
