Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,1.0,0.5,Y;Yb,2.2148807787901728
03124_95_random,0.6666666666666666,0.2,Yb,0.2306448544924376
03130_95_random,0.6666666666666666,0.0,,1.223678428123179
03134_95_random,0.5,0.0,,4.9731514236382734
070036_95_random,0.8333333333333334,0.0,,0.4339600206338239
070099_95_random,0.5,0.0,,0.3158507670925546
070101_95_random,0.4,0.0,,0.369310771915765
070159_95_random,1.0,0.0,,0.5289284665735027
070171_95_random,0.7777777777777778,0.125,Yb,0.0784371410787392
07103_95_random,0.5,0.5,Ho,3.389328762503533
07105_95_random,0.5,0.0,,0.7945998395469451
07106_95_random,0.875,0.0,,0.1297941990354752
07107_95_random,0.8333333333333334,0.0,,0.4985017420577176
07111_95_random,0.8571428571428571,0.0,,0.0524051189534589
07121_95_random,0.7142857142857143,0.0,,0.2947316316777914
07122_95_random,0.5,0.3333333333333333,Ho;Ce,0.5002998171737338
07125_95_random,0.8333333333333334,0.16666666666666666,La,0.2422960729736504
07141_95_random,0.5714285714285714,0.0,,0.4675034958897645
07145_95_random,1.0,0.75,Lu;Ho;Ce,4.999999050000014
07405_95_random,0.6666666666666666,0.2,Gd,0.2686198673977401
07407_95_random,0.5714285714285714,0.0,,0.0562662991221789
07840_95_random,0.42857142857142855,0.4,Ho;Ce,0.0404166125060371
