idx,n_lines,wl,A,E,g,delta_p,max_abs_delta_p
"[0, 1]",2,"[350.91460000000006, 365.88910000000004]","[0.537, 1.71]","[3.5320426638, 3.5135045543]","[19.0, 13.0]","[0.0019465238462282874, -0.0019465238462282874]",0.0019465238462282874
"[0, 2]",2,"[350.91460000000006, 367.6363]","[0.537, 1.19]","[3.5320426638, 3.4974051314]","[19.0, 15.0]","[0.0038807927354613247, -0.003880792735461158]",0.0038807927354613247
"[0, 3]",2,"[350.91460000000006, 370.28560000000004]","[0.537, 0.619]","[3.5320426638, 3.4732842024999995]","[19.0, 17.0]","[0.007098509500552963, -0.0070985095005529075]",0.007098509500552963
"[0, 4]",2,"[350.91460000000006, 384.874]","[0.537, 0.543]","[3.5320426638, 3.2204003367999996]","[19.0, 17.0]","[0.03733640829791368, -0.037336408297913515]",0.03733640829791368
"[0, 5]",2,"[350.91460000000006, 387.41720000000004]","[0.537, 1.0]","[3.5320426638, 3.199260507]","[19.0, 15.0]","[0.035797404894769624, -0.03579740489476957]",0.035797404894769624
"[0, 6]",2,"[350.91460000000006, 403.3027]","[0.537, 0.374]","[3.5320426638, 3.199260507]","[19.0, 15.0]","[0.03909962497874875, -0.03909962497874869]",0.03909962497874875
"[1, 2]",2,"[365.88910000000004, 367.6363]","[1.71, 1.19]","[3.5135045543, 3.4974051314]","[13.0, 15.0]","[0.0019258497433485289, -0.0019258497433485844]",0.0019258497433485844
"[1, 3]",2,"[365.88910000000004, 370.28560000000004]","[1.71, 0.619]","[3.5135045543, 3.4732842024999995]","[13.0, 17.0]","[0.004295379816237732, -0.004295379816237788]",0.004295379816237788
"[1, 4]",2,"[365.88910000000004, 384.874]","[1.71, 0.543]","[3.5135045543, 3.2204003367999996]","[13.0, 17.0]","[0.032644268598176596, -0.03264426859817676]",0.03264426859817676
"[1, 5]",2,"[365.88910000000004, 387.41720000000004]","[1.71, 1.0]","[3.5135045543, 3.199260507]","[13.0, 15.0]","[0.037920354222794495, -0.037920354222794495]",0.037920354222794495
"[1, 6]",2,"[365.88910000000004, 403.3027]","[1.71, 0.374]","[3.5135045543, 3.199260507]","[13.0, 15.0]","[0.028546087172352297, -0.02854608717235213]",0.028546087172352297
"[2, 3]",2,"[367.6363, 370.28560000000004]","[1.19, 0.619]","[3.4974051314, 3.4732842024999995]","[15.0, 17.0]","[0.0027364784824954747, -0.0027364784824954747]",0.0027364784824954747
"[2, 4]",2,"[367.6363, 384.874]","[1.19, 0.543]","[3.4974051314, 3.2204003367999996]","[15.0, 17.0]","[0.032350782583583815, -0.03235078258358376]",0.032350782583583815
"[2, 5]",2,"[367.6363, 387.41720000000004]","[1.19, 1.0]","[3.4974051314, 3.199260507]","[15.0, 15.0]","[0.03586314613702157, -0.035863146137021684]",0.035863146137021684
"[2, 6]",2,"[367.6363, 403.3027]","[1.19, 0.374]","[3.4974051314, 3.199260507]","[15.0, 15.0]","[0.029747680242580565, -0.02974768024258062]",0.02974768024258062
"[3, 4]",2,"[370.28560000000004, 384.874]","[0.619, 0.543]","[3.4732842024999995, 3.2204003367999996]","[17.0, 17.0]","[0.030418351384082387, -0.030418351384082443]",0.030418351384082443
"[3, 5]",2,"[370.28560000000004, 387.41720000000004]","[0.619, 1.0]","[3.4732842024999995, 3.199260507]","[17.0, 15.0]","[0.029938557892955076, -0.029938557892955076]",0.029938557892955076
"[3, 6]",2,"[370.28560000000004, 403.3027]","[0.619, 0.374]","[3.4732842024999995, 3.199260507]","[17.0, 15.0]","[0.031926925696508124, -0.031926925696508124]",0.031926925696508124
"[4, 5]",2,"[384.874, 387.41720000000004]","[0.543, 1.0]","[3.2204003367999996, 3.199260507]","[17.0, 15.0]","[0.0023994739335709836, -0.0023994739335709836]",0.0023994739335709836
"[4, 6]",2,"[384.874, 403.3027]","[0.543, 0.374]","[3.2204003367999996, 3.199260507]","[17.0, 15.0]","[0.0023906053713674824, -0.002390605371367427]",0.0023906053713674824
"[5, 6]",2,"[387.41720000000004, 403.3027]","[1.0, 0.374]","[3.199260507, 3.199260507]","[15.0, 15.0]","[0.0, 0.0]",0.0
"[0, 1, 2]",3,"[350.91460000000006, 365.88910000000004, 367.6363]","[0.537, 1.71, 1.19]","[3.5320426638, 3.5135045543, 3.4974051314]","[19.0, 13.0, 15.0]","[0.002030390394796272, 0.00041230569020506147, -0.0024426960850014168]",0.0024426960850014168
"[0, 1, 3]",3,"[350.91460000000006, 365.88910000000004, 370.28560000000004]","[0.537, 1.71, 0.619]","[3.5320426638, 3.5135045543, 3.4732842024999995]","[19.0, 13.0, 17.0]","[0.0027941342685043613, 0.001395397902549167, -0.004189532171053473]",0.004189532171053473
"[0, 1, 4]",3,"[350.91460000000006, 365.88910000000004, 384.874]","[0.537, 1.71, 0.543]","[3.5320426638, 3.5135045543, 3.2204003367999996]","[19.0, 13.0, 17.0]","[0.010636959987495392, 0.018317760969124075, -0.028954720956619495]",0.028954720956619495
"[0, 1, 5]",3,"[350.91460000000006, 365.88910000000004, 387.41720000000004]","[0.537, 1.71, 1.0]","[3.5320426638, 3.5135045543, 3.199260507]","[19.0, 13.0, 15.0]","[0.012906384920673752, 0.02384595513121074, -0.03675234005188466]",0.03675234005188466
"[0, 1, 6]",3,"[350.91460000000006, 365.88910000000004, 403.3027]","[0.537, 1.71, 0.374]","[3.5320426638, 3.5135045543, 3.199260507]","[19.0, 13.0, 15.0]","[0.009047040563826936, 0.014362502467775484, -0.02340954303160253]",0.02340954303160253
"[0, 2, 3]",3,"[350.91460000000006, 367.6363, 370.28560000000004]","[0.537, 1.19, 0.619]","[3.5320426638, 3.4974051314, 3.4732842024999995]","[19.0, 15.0, 17.0]","[0.004104373603684708, -0.0005464621140440773, -0.003557911489640686]",0.004104373603684708
"[0, 2, 4]",3,"[350.91460000000006, 367.6363, 384.874]","[0.537, 1.19, 0.543]","[3.5320426638, 3.4974051314, 3.2204003367999996]","[19.0, 15.0, 17.0]","[0.013521227465773888, 0.016151555986545496, -0.029672783452319218]",0.029672783452319218
"[0, 2, 5]",3,"[350.91460000000006, 367.6363, 387.41720000000004]","[0.537, 1.19, 1.0]","[3.5320426638, 3.4974051314, 3.199260507]","[19.0, 15.0, 15.0]","[0.01560152591854827, 0.021005581785808858, -0.036607107704357156]",0.036607107704357156
"[0, 2, 6]",3,"[350.91460000000006, 367.6363, 403.3027]","[0.537, 1.19, 0.374]","[3.5320426638, 3.4974051314, 3.199260507]","[19.0, 15.0, 15.0]","[0.012073142566451256, 0.012588961866925819, -0.024662104433377102]",0.024662104433377102
"[0, 3, 4]",3,"[350.91460000000006, 370.28560000000004, 384.874]","[0.537, 0.619, 0.543]","[3.5320426638, 3.4732842024999995, 3.2204003367999996]","[19.0, 17.0, 17.0]","[0.019948465753802602, 0.01176645914046931, -0.03171492489427197]",0.03171492489427197
"[0, 3, 5]",3,"[350.91460000000006, 370.28560000000004, 387.41720000000004]","[0.537, 0.619, 1.0]","[3.5320426638, 3.4732842024999995, 3.199260507]","[19.0, 17.0, 15.0]","[0.021443124992148926, 0.015122891899277735, -0.03656601689142691]",0.03656601689142691
"[0, 3, 6]",3,"[350.91460000000006, 370.28560000000004, 403.3027]","[0.537, 0.619, 0.374]","[3.5320426638, 3.4732842024999995, 3.199260507]","[19.0, 17.0, 15.0]","[0.01895550370134419, 0.00911117838661546, -0.028066682087959705]",0.028066682087959705
"[0, 4, 5]",3,"[350.91460000000006, 384.874, 387.41720000000004]","[0.537, 0.543, 1.0]","[3.5320426638, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 15.0]","[0.02851970650685276, -0.008910991738485086, -0.01960871476836762]",0.02851970650685276
"[0, 4, 6]",3,"[350.91460000000006, 384.874, 403.3027]","[0.537, 0.543, 0.374]","[3.5320426638, 3.2204003367999996, 3.199260507]","[19.0, 17.0, 15.0]","[0.03479187431209596, -0.020242653690057566, -0.0145492206220382]",0.03479187431209596
"[0, 5, 6]",3,"[350.91460000000006, 387.41720000000004, 403.3027]","[0.537, 1.0, 0.374]","[3.5320426638, 3.199260507, 3.199260507]","[19.0, 15.0, 15.0]","[0.03169400219328766, -0.02331695154962221, -0.008377050643665368]",0.03169400219328766
"[1, 2, 3]",3,"[365.88910000000004, 367.6363, 370.28560000000004]","[1.71, 1.19, 0.619]","[3.5135045543, 3.4974051314, 3.4732842024999995]","[13.0, 15.0, 17.0]","[0.0029889379109683256, -0.00031527013165899564, -0.0026736677793092467]",0.0029889379109683256
"[1, 2, 4]",3,"[365.88910000000004, 367.6363, 384.874]","[1.71, 1.19, 0.543]","[3.5135045543, 3.4974051314, 3.2204003367999996]","[13.0, 15.0, 17.0]","[0.015227341349790147, 0.00974087980056143, -0.024968221150351605]",0.024968221150351605
"[1, 2, 5]",3,"[365.88910000000004, 367.6363, 387.41720000000004]","[1.71, 1.19, 1.0]","[3.5135045543, 3.4974051314, 3.199260507]","[13.0, 15.0, 15.0]","[0.019601318889131192, 0.013663512042303483, -0.033264830931434564]",0.033264830931434564
"[1, 2, 6]",3,"[365.88910000000004, 367.6363, 403.3027]","[1.71, 1.19, 0.374]","[3.5135045543, 3.4974051314, 3.199260507]","[13.0, 15.0, 15.0]","[0.012381611764952172, 0.007139260277087778, -0.019520872042039755]",0.019520872042039755
"[1, 3, 4]",3,"[365.88910000000004, 370.28560000000004, 384.874]","[1.71, 0.619, 0.543]","[3.5135045543, 3.4732842024999995, 3.2204003367999996]","[13.0, 17.0, 17.0]","[0.02116611833139881, 0.005745073431274561, -0.02691119176267337]",0.02691119176267337
"[1, 3, 5]",3,"[365.88910000000004, 370.28560000000004, 387.41720000000004]","[1.71, 0.619, 1.0]","[3.5135045543, 3.4732842024999995, 3.199260507]","[13.0, 17.0, 15.0]","[0.025735740644835192, 0.00869708954955889, -0.03443283019439408]",0.03443283019439408
"[1, 3, 6]",3,"[365.88910000000004, 370.28560000000004, 403.3027]","[1.71, 0.619, 0.374]","[3.5135045543, 3.4732842024999995, 3.199260507]","[13.0, 17.0, 15.0]","[0.01812255759139969, 0.00367043166041342, -0.021792989251813055]",0.021792989251813055
"[1, 4, 5]",3,"[365.88910000000004, 384.874, 387.41720000000004]","[1.71, 0.543, 1.0]","[3.5135045543, 3.2204003367999996, 3.199260507]","[13.0, 17.0, 15.0]","[0.035555251519146014, -0.011949212334165737, -0.02360603918498022]",0.035555251519146014
"[1, 4, 6]",3,"[365.88910000000004, 384.874, 403.3027]","[1.71, 0.543, 0.374]","[3.5135045543, 3.2204003367999996, 3.199260507]","[13.0, 17.0, 15.0]","[0.03626148441036636, -0.02160405701720297, -0.014657427393163364]",0.03626148441036636
"[1, 5, 6]",3,"[365.88910000000004, 387.41720000000004, 403.3027]","[1.71, 1.0, 0.374]","[3.5135045543, 3.199260507, 3.199260507]","[13.0, 15.0, 15.0]","[0.03744358618639271, -0.027546861378621612, -0.009896724807771012]",0.03744358618639271
